Author,Full name and years of living,Gender,Country of origin
MORLEY,Christopher Morley (1890 – 1957),M,USA
MUKERJI,Dhan Gopal Mukerji (1890 – 1936),M,India
MYGATT,Tracy D. Mygatt (1885 – 1973),F,USA
OBRIEN,Seumas O’Brien (1880 – ?),M,Ireland
ONEILL,Eugene O’Neill (1888 – 1953),M,USA
OSTROVSKY,Aleksandr Nikolaevich Ostrovsky (1823 – 1886),M,Russia (Russian Empire)
OXENFORD,John Oxenford (1812 – 1877),M,England
PARKHURST,Winthrop Parkhurst,M,USA
PEABODY,Josephine Preston Peabody (1874 – 1922),F,USA
PEMBERTON,Thomas Edgar Pemberton (1849 – 1905),M,England
"PETERSON, PETERSON_AND_TI",Frederick Peterson (1859 – 1938),M,USA
PINSKI,David Pinski (1872 – 1959),M,Belarus (Russian Empire)
SERAFIN_AND_JOA,Joaquín Álvarez Quintero (1873 – 1944),M,Spain
RICHMOND,Florence Elsa (née Bell) Richmond (1880 – 1971),F,UK
RIGGS,Lynn Riggs (1899 – 1954),M,USA
ROGERS,Robert Emmons Rogers,M,N/A
SARDOU,Victorien Sardou (1831 – 1908),M,France
SAUNDERS,Louise Saunders,F,USA
SCHNITZLER,Arthur Schnitzler (1862 – 1931),M,Austria
SCHUCHERT,Herman Schuchert,M,N/A
SERAFIN_AND_JOA,Serafín Álvarez Quintero (1871 – 1938),M,Spain
SHEA,Cornelius Shea (1863 – 1920),M,USA
SHIRLEY,Arthur Shirley 1886 – 1967,M,Australia
SIENKIEWICZ,Henryk Sienkiewicz (1846 – 1916),M,Poland
SINCLAIR,Upton Sinclair (1878 – 1968),M,USA
SPEENHOFF,Jacobus Hendrikus Speenhoff (1869 – 1945),M,The Netherlands
STRINDBERG,August Strindberg (1849 – 1912),M,Sweden
SUDERMANN,Hermann Sudermann (1857 – 1928),M,Germany (Prussia)
SYNGE,John Millington Synge (1871 – 1909),M,Ireland
TARKINGTON,Booth Tarkington (1869 – 1946),M,USA
THAYER,Ella Cheever Thayer (1849 – 1925),F,USA
TOLSTOY,Leo Tolstoy (1828 – 1910),M,Russia (Russian Empire)
TOMPKINS,Frank G. Tompkins,M,N/A
WALKER,Stuart Walker (1888 – 1941),M,USA
WEDEKIND,Frank Wedekind (1864 – 1918),M,Germany
WELLMAN,Rita Wellman (1890 – 1965),F,USA?
WIED,Gustav Wied (1858 – 1914),M,Denmark
WILDE,Percival Wilde (1887 – 1953),M,USA
WOODMAN,Hannah Rea Woodman (1870 – 1951),F,USA
WOOD_STEVENS,Thomas Wood Stevens (1880 – 1942),M,USA
YALE,Elsie Duncan Yale (1873 – 1956),F,USA
"YEATS,  GREGORY_AND_YEA",William Butler Yeats (1865 – 1939),M,Ireland
YOUNG,Stark Young (1881 – 1963),M,USA
